,precision,recall,f1-score,support
0,1.0,1.0,1.0,18.0
1,1.0,1.0,1.0,18.0
2,0.9932584269662922,0.9977426636568849,0.9954954954954955,443.0
3,1.0,0.9874476987447699,0.9936842105263158,239.0
4,1.0,1.0,1.0,29.0
5,0.0,0.0,0.0,16.0
6,0.6129032258064516,0.8636363636363636,0.7169811320754716,22.0
7,0.9130434782608695,0.7,0.7924528301886793,30.0
8,1.0,0.9629629629629629,0.9811320754716981,27.0
9,1.0,1.0,1.0,24.0
10,1.0,0.9824561403508771,0.9911504424778761,57.0
11,1.0,1.0,1.0,65.0
12,0.9696969696969697,1.0,0.9846153846153847,32.0
13,1.0,1.0,1.0,28.0
14,1.0,1.0,1.0,19.0
15,1.0,1.0,1.0,24.0
16,0.9523809523809523,1.0,0.975609756097561,20.0
17,1.0,1.0,1.0,21.0
18,1.0,1.0,1.0,23.0
19,1.0,1.0,1.0,12.0
20,0.6818181818181818,0.7894736842105263,0.7317073170731707,19.0
21,0.6875,0.55,0.6111111111111112,20.0
22,0.9836065573770492,0.9836065573770492,0.9836065573770492,61.0
23,1.0,1.0,1.0,14.0
24,0.8823529411764706,1.0,0.9375,120.0
accuracy,0.9657387580299786,0.9657387580299786,0.9657387580299786,0.9657387580299786
macro avg,0.9070624293393296,0.9126930428375774,0.9078018525003926,1401.0
weighted avg,0.9575685074484508,0.9657387580299786,0.9605088440876842,1401.0
